date,code,pcs_m,quantity,location
2017-06-29,G153,0.01,1,bodensee_steinach_dolder_a
2017-06-29,G26,0.02,2,bodensee_steinach_dolder_a
2017-06-29,G165,0.01,1,bodensee_steinach_dolder_a
2017-06-29,G31,0.01,1,bodensee_steinach_dolder_a
2017-06-29,G199,0.04,4,bodensee_steinach_dolder_a
2017-06-29,G67,0.08,7,bodensee_steinach_dolder_a
2017-06-29,G3,0.09,8,bodensee_steinach_dolder_a
2017-06-29,G125,0.01,1,bodensee_steinach_dolder_a
2017-06-29,G8,0.01,1,bodensee_steinach_dolder_a
2017-06-29,G152,0.02,2,bodensee_steinach_dolder_a
2017-06-29,G23,0.03,3,bodensee_steinach_dolder_a
2017-06-29,G156,0.07,6,bodensee_steinach_dolder_a
2017-06-29,G30,0.27,25,bodensee_steinach_dolder_a
2017-06-29,G178,0.03,3,bodensee_steinach_dolder_a
2017-06-29,G59,0.01,1,bodensee_steinach_dolder_a
2017-06-29,G208,0.09,8,bodensee_steinach_dolder_a
2017-06-29,G101,0.02,2,bodensee_steinach_dolder_a
2017-06-29,G7,0.07,6,bodensee_steinach_dolder_a
2017-06-29,G144,0.1,9,bodensee_steinach_dolder_a
2017-06-29,G21,0.04,4,bodensee_steinach_dolder_a
2017-06-29,G155,0.02,2,bodensee_steinach_dolder_a
2017-06-29,G27,0.4,37,bodensee_steinach_dolder_a
2017-06-29,G175,0.13,12,bodensee_steinach_dolder_a
2017-06-29,G32,0.02,2,bodensee_steinach_dolder_a
2017-06-29,G200,0.02,2,bodensee_steinach_dolder_a
2017-06-29,G80,0.12,11,bodensee_steinach_dolder_a
2017-05-29,G33,0.04,4,bodensee_steinach_dolder_a
2017-05-29,G79,0.13,12,bodensee_steinach_dolder_a
2017-05-29,G4,0.34,31,bodensee_steinach_dolder_a
2017-05-29,G101,0.01,1,bodensee_steinach_dolder_a
2017-05-29,G21,0.07,6,bodensee_steinach_dolder_a
2017-05-29,G158,0.1,9,bodensee_steinach_dolder_a
2017-05-29,G26,0.03,3,bodensee_steinach_dolder_a
2017-05-29,G195,0.01,1,bodensee_steinach_dolder_a
2017-05-29,G32,0.01,1,bodensee_steinach_dolder_a
2017-05-29,G67,0.2,18,bodensee_steinach_dolder_a
2017-05-29,G3,0.1,9,bodensee_steinach_dolder_a
2017-05-29,G82,0.05,5,bodensee_steinach_dolder_a
2017-05-29,G10,0.02,2,bodensee_steinach_dolder_a
2017-05-29,G153,0.01,1,bodensee_steinach_dolder_a
2017-05-29,G24,0.01,1,bodensee_steinach_dolder_a
2017-05-29,G188,0.01,1,bodensee_steinach_dolder_a
2017-05-29,G30,0.17,16,bodensee_steinach_dolder_a
2017-05-29,G208,0.04,4,bodensee_steinach_dolder_a
2017-05-29,G35,0.01,1,bodensee_steinach_dolder_a
2017-05-29,G80,0.07,6,bodensee_steinach_dolder_a
2017-05-29,G7,0.02,2,bodensee_steinach_dolder_a
2017-05-29,G125,0.02,2,bodensee_steinach_dolder_a
2017-05-29,G22,0.02,2,bodensee_steinach_dolder_a
2017-05-29,G178,0.01,1,bodensee_steinach_dolder_a
2017-05-29,G27,0.21,19,bodensee_steinach_dolder_a
2017-05-29,G200,0.01,1,bodensee_steinach_dolder_a
2017-04-22,G4,0.07,6,bodensee_steinach_dolder_a
2017-04-22,G175,0.07,6,bodensee_steinach_dolder_a
2017-04-22,G21,0.05,5,bodensee_steinach_dolder_a
2017-04-22,G198,0.03,3,bodensee_steinach_dolder_a
2017-04-22,G33,0.02,2,bodensee_steinach_dolder_a
2017-04-22,G79,0.24,22,bodensee_steinach_dolder_a
2017-04-22,G125,0.03,3,bodensee_steinach_dolder_a
2017-04-22,G3,0.05,5,bodensee_steinach_dolder_a
2017-04-22,G156,0.03,3,bodensee_steinach_dolder_a
2017-04-22,G13,0.03,3,bodensee_steinach_dolder_a
2017-04-22,G178,0.02,2,bodensee_steinach_dolder_a
2017-04-22,G30,0.16,15,bodensee_steinach_dolder_a
2017-04-22,G67,0.23,21,bodensee_steinach_dolder_a
2017-04-22,G101,0.01,1,bodensee_steinach_dolder_a
2017-04-22,G153,0.01,1,bodensee_steinach_dolder_a
2017-04-22,G7,0.08,7,bodensee_steinach_dolder_a
2017-04-22,G176,0.01,1,bodensee_steinach_dolder_a
2017-04-22,G27,0.09,8,bodensee_steinach_dolder_a
2017-04-22,G200,0.04,4,bodensee_steinach_dolder_a
